radius,objective,sigma,lr,key,seed,status,error,kl,validation_nll,parameters,scale,initial_gradient_norm,reference_gradient_norm,scaled_initial_gradient_norm,sample_sha256,initial_sha256,mask_sha256,validation_sha256,seconds
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920032,ok,,1.1011412948107921,6.636932112055288,36,0.22266113343073318,0.24946474756109147,0.05554610344296436,0.05554610344296436,38cb28c0f8d7d14aa12436394eb4d60c59feae60c51eeddb03744c50ef6d85ae,c6aaed13810b13e622f64cfa6ccfb865fb9a6b2943997d473101ece140c7a71f,778bddafbf0745ed17c5d73af90f1caddc7d509e0b57ebac85dcc6db742de4ed,ad8952219f45864c3a04e84545628e4085d632fae51e468f1e251ef41a8712f2,0.3896170419975533
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920033,ok,,0.9010963242452791,6.466001939796284,36,0.21805304242514248,0.25462750849428534,0.05552230291231273,0.05552230291231273,861aa07be0d52c9ed7d65553cdcadaec40b880fdaa63de205887acd0b60e2d54,c391d8450a4d99680ba66b80045c0bb3fbf1f57b2e83612716f4b0ccac889f3b,4d10bfbaeba324335dcff3f4ff8f8dc77b9d55a9de288cdbb59b8b8d19559ac3,20f212dcf3795ee6ced273a598d4d7ed7c1237b31ea1fa2c88d7c23b2c1513fb,0.3893174589975388
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920034,ok,,1.013734219168711,6.535754971895823,36,0.23288086564172927,0.2571685570974884,0.05988963619269758,0.05988963619269758,68bc109b78ed43097dcc2c060e7651e6d1b2df77c6773950ebd20b503520f4db,3e9a1a7d122df67d211b65900017f3cd732894119b668f42c6b1da4ce0a12bef,6a2dc7328ab2f39c289753b4371eb9ba6583803ea242b3c489efd96de27b428a,e6d9a90e038d576628a081aaa82a6e3b94fe2271f7526ca6be36b9e0fb4e841d,0.3889423340006033
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920035,ok,,1.0370578107275699,6.700703236355781,36,0.20124455310383807,0.24878189549096777,0.050066001378405556,0.050066001378405556,9f9bb9af2b480b18f4fb64e7f4770c1aa861f880830d03b47f50a8b58df55cc6,98b04ec7e88e7f9b2caa6e255e268fdffc5ee3167226e34fe59e74305c75701e,33bebedc24b69d6fe96830d328e1e8159f50a31df2e42685dc579d5adf31ccbf,9398b84dbcf5301eade2ded2c025f13509a961020912fa285047e4f2538b28af,0.38795008300076006
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920036,ok,,0.8592729741230358,6.495617898941156,36,0.189885365062583,0.2537067848204954,0.04817520545449396,0.04817520545449396,9118663aa545c425e60af1f87e75bca6563b505f0c013736102d5a7bdd0b46d5,2b50d96b98843a7e4708b2ce0d5c62a214465db202246460076cc0317d86244a,0b3d5e1bb240b3b5293e364698e1c306e20a5b6b448f3b9eeb49992237175506,01fe4709bed9ba39305d583f9f7de9fd8ddf49748e1069ddda9a9dae79b4fa13,0.3921247920006863
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920037,ok,,1.0011545030954647,6.5238747693530135,36,0.2163348018996237,0.24456501111007306,0.052907923230076925,0.052907923230076925,f14d4be015213bcf554bdd1c65901bf5b453c00dd4645916fcbdc767f6e7e6e5,8e9effebfebd9f0b9bdd0535754d5f856b7eabae34f204a119db728a06574220,49c0310a25fcca0e16609fed9f328430955d13999e7bc0e5b81e6aca35ecf800,4ddeec1d9f01aa1c6d79792053bb21f608e08b4362ad830d5ddee35d47849e3d,0.3891253330002655
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920038,ok,,1.0185379096078577,6.633062158863086,36,0.17995634978435734,0.2483519964431559,0.04469251874156803,0.04469251874156803,897ee00daa6b775a1fcfaa3de39d4e0622b8f2aafe54d7e0ef54eb5c24caac9b,e25232740d90a21c9d9c2ee015762ff3f51902dba1a7e0a1dcf79152a0b22701,633b7ce249cad6da2d86e2f60ad093c5e40164231b54157f04de6863a39e9fa9,109df660baa49982c3fc03a130021f992882684e9e8209ff4f2940bf4645ba64,0.38938224999583326
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920039,ok,,1.0716314583221893,6.755124775173108,36,0.19160513612762697,0.2560033196791271,0.04905155091624355,0.04905155091624355,894146a3e5135717dcb3062e90c183ee05e296045b5df79802d8ec1ec4eb379f,ca985fc760893a63dc33020747fe68123e6ce102f9b5072ef4efe978409e0e7c,62afd72f2dacc3c1b613a9be2fc20046af00e4d91face31fec097d4206bf9edd,65239a9c1764410f01204a251d4471b9b6891c1187c140a66afb00df6ce9f573,0.3901289170025848
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920040,ok,,1.0946418111292207,6.742518558937183,36,0.22207138808996876,0.26401163536596134,0.058629430337621725,0.058629430337621725,44e95a508b750921a7fb1b763a39914eede7285ed9ce84637f956e2da8254958,05a336100a0f1b0722565c94767057343d259c17815aa9e7eed8b888fadbe53e,4f9cf27a4964efd7fbc959c3073110ac8c973b61ed962a23d5d541e57920ab45,e6474922f9ef0e668a7d50a60abdb58de7f7c092135da240bca6aee084914400,0.3903764169954229
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920041,ok,,1.015048095191961,6.5911290675601615,36,0.20664591863407705,0.24533686778298247,0.05069786241782152,0.05069786241782152,0a35fbb4f600ba353e08ba3d9604c19971e466ed37ead01865533a1f80016db1,d14ce7f253e58b2a59776f2aae0632409aa8d1feecb2b06147aa9e41c5adfc7b,3a9a230a5f39f3c691f3216d885c0df9609880794c71644a32a8072b6910a72c,4c8869a82a0084e61f8b222f1c058cf46f8211f4e73779bb39343816b3c97041,0.3873976249960833
