beta,seed,rule,parity_sigma,parity_k,mse_k,parity_kl,matched_mse_kl,selected_mse_kl,parity_validation_nll,mse_validation_nll
0.5,119,oracle,1.0,256,512,0.5614191984770875,0.5675044170508413,0.536274425303193,7.633645938708582,7.772628293917396
0.5,119,validation,1.0,256,512,0.5614191984770875,0.5675044170508413,0.536274425303193,7.633645938708582,7.772628293917396
0.5,120,oracle,1.0,256,512,0.4763752000976297,0.5373351439834066,0.5150853394947115,7.80729606056577,7.886874371067583
0.5,120,validation,1.0,128,128,0.6728654824800984,0.5165303818697471,0.5165303818697471,7.740701078566156,7.758635237288079
0.6,111,oracle,0.5,512,512,0.4502044504168372,0.4500989988443453,0.4500989988443453,7.450200278287068,7.467500885247737
0.6,111,validation,1.0,512,256,0.4571816342531785,0.4500989988443453,0.4732956960746669,7.251490919325368,7.221508376663751
0.6,112,oracle,2.0,256,128,0.4599308214617037,0.49732716726909465,0.45563622074305143,7.5496201869975605,7.50453086684174
0.6,112,validation,2.0,128,512,0.5360883798870608,0.45563622074305143,0.4985817814525968,7.51985419011329,7.458772703640502
0.6,113,oracle,1.0,256,256,0.35685044962306206,0.40628279974097486,0.40628279974097486,7.5513637321224785,7.6508353908393065
0.6,113,validation,1.0,256,128,0.35685044962306206,0.40628279974097486,0.4470823776429418,7.5513637321224785,7.502989711441554
0.6,114,oracle,1.0,512,512,0.4123339573945046,0.46094010134356167,0.46094010134356167,7.57687224607437,7.626193027943011
0.6,114,validation,2.0,512,128,0.4541930732715529,0.46094010134356167,0.6154955693364883,7.357763023122199,7.620193987883412
0.6,115,oracle,2.0,512,512,0.39070778307161025,0.45841028046497345,0.45841028046497345,7.327136969125156,7.3360753726639985
0.6,115,validation,0.5,512,256,0.465629015074348,0.45841028046497345,0.46529875942268684,7.285317047503404,7.334435502964774
0.6,116,oracle,1.0,128,512,0.4294219914150402,0.48217739618325534,0.47065463314287953,7.256708627587022,7.432147509343704
0.6,116,validation,1.0,128,128,0.4294219914150402,0.48217739618325534,0.48217739618325534,7.256708627587022,7.333579601457527
0.6,117,oracle,1.0,512,256,0.48803269292191687,0.6769708802909329,0.4917363862228673,7.246584355376132,7.249929487996636
0.6,117,validation,1.0,256,256,0.5224740480068317,0.4917363862228673,0.4917363862228673,7.218797447426623,7.249929487996636
0.6,118,oracle,1.0,512,256,0.5151543408603855,0.6060074383556098,0.601137255327217,7.311559797617573,7.591102919970829
0.6,118,validation,1.0,512,128,0.5151543408603855,0.6060074383556098,0.6059960783215901,7.311559797617573,7.434216063023737
0.6,119,oracle,1.0,128,256,0.525998892587824,0.5536062074601004,0.5443797903897549,7.640066963922748,7.613513544172679
0.6,119,validation,1.0,512,128,0.5297345058241474,0.5486791147517938,0.5536062074601004,7.490099032056009,7.597537552240907
0.6,120,oracle,1.0,256,128,0.4788602839977126,0.5681707383495213,0.5197755377703486,7.4982010645154595,7.6065278745256
0.6,120,validation,1.0,256,256,0.4788602839977126,0.5681707383495213,0.5681707383495213,7.4982010645154595,7.495381204694247
0.7,111,oracle,1.0,512,128,0.46426496605302536,0.48850545320740585,0.3921608324148995,7.267697401872474,7.02089316093635
0.7,111,validation,1.0,128,128,0.5347917334439368,0.3921608324148995,0.3921608324148995,7.099125854904896,7.02089316093635
0.7,112,oracle,2.0,256,128,0.4270554461311258,0.525659111843672,0.47470667389623133,7.162282547985431,7.02254853186148
0.7,112,validation,1.0,512,128,0.4796799317495414,0.7379889562832385,0.47470667389623133,7.078925851227016,7.02254853186148
0.7,113,oracle,1.0,512,128,0.38064775354707037,0.5623413273761578,0.40186569940065664,7.173121580128971,7.09244906909285
0.7,113,validation,2.0,128,128,0.5491359325979837,0.40186569940065664,0.40186569940065664,7.172818108584296,7.09244906909285
0.7,114,oracle,2.0,512,128,0.4054270122440936,0.563098047634562,0.40939928150943794,7.190746775986854,7.230027511025553
0.7,114,validation,2.0,512,128,0.4054270122440936,0.563098047634562,0.40939928150943794,7.190746775986854,7.230027511025553
