n,beta,seed,sigma,k,m,steps,protocol,model,init_seed,sample_seed,mask_seed,samples_sha256,masks_sha256,unique_masks,elite_size,elapsed_seconds,kl,support_mass,support_kl,conditional_kl,unseen_mass,region_mass_kl,within_region_kl,coverage_1000,recovery_1000,conditional_coverage_1000,coverage_2000,recovery_2000,conditional_coverage_2000,coverage_5000,recovery_5000,conditional_coverage_5000
12,0.1,115,1.0,512,200,600,matched,ising-parity,30116,122,337,61ac308d9cd4feb5feef4f317cacaeaebe30f888f3e35ea36c2a16bd47f830f3,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,279,338,0.3610724579775706,0.8603244899124995,0.5000003555023965,0.693146469555405,0.1671780203570945,0.4474536085835638,0.0005344377539156196,0.1666435826031787,0.08313623156008279,0.24596518213042246,0.14161302864454264,0.07079852797790415,0.41892620105268724,0.10745642807143659,0.04767053196604495,0.705185384113091,0.05951635654234815
12,0.1,115,1.0,512,200,600,matched,ising-nll,30119,122,337,61ac308d9cd4feb5feef4f317cacaeaebe30f888f3e35ea36c2a16bd47f830f3,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,279,338,0.1710953749716282,0.8990138662999234,0.5000018411550026,0.6931434982567198,0.20587036804320358,0.43483852537319956,0.0059241807774406754,0.19994618726576302,0.07977056971755862,0.2360076027146705,0.1358218098548288,0.06790353816626217,0.4017960838240365,0.10343570802659098,0.046002798944139285,0.680514777280167,0.058074264690683594
12,0.1,115,1.0,512,200,600,matched,transformer,35616,122,337,61ac308d9cd4feb5feef4f317cacaeaebe30f888f3e35ea36c2a16bd47f830f3,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,279,338,8.344568290980533,1.2455024502693783,0.5004838704024893,0.692179907714215,0.5533225425551633,0.4130816105070544,0.025374360438810258,0.5279481821163531,0.07203604461495758,0.2131243923519455,0.1215015090830758,0.06078448892534203,0.3596715321026156,0.09225778232601083,0.0411083497449776,0.6081116826180119,0.05258701030435998
12,0.1,115,1.0,512,200,600,matched,maxent,36116,122,337,61ac308d9cd4feb5feef4f317cacaeaebe30f888f3e35ea36c2a16bd47f830f3,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,279,338,0.5014017090434209,1.5274630408227643,0.5006669177964844,0.6918142337354448,0.8356488070873195,0.35329295340318834,0.11745924594964656,0.718189561137673,0.060547823079414496,0.1791355712408713,0.09999409672943663,0.05003578105371584,0.2960697103770168,0.07519171317190286,0.03358301859020331,0.4967902158314099,0.04417149871557487
12,0.1,116,1.0,512,200,600,matched,iqp-parity,13700,123,338,eab5dcbd573281cce525b147e39d593cb501cfacbfc6b8f50d56a41d61976439,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,273,342,0.6410161249805242,0.6292179170702936,1.0,-0.0,0.6292179170702936,0.9067491533158742,2.552453695048014e-07,0.6292176618249241,0.11880540471959404,0.34738422432629834,0.11880540471959404,0.08883777140956034,0.5195191310500605,0.08883777140956034,0.050420584655498916,0.73714305051899,0.050420584655498916
12,0.1,116,1.0,512,200,600,matched,iqp-mse,13700,123,338,eab5dcbd573281cce525b147e39d593cb501cfacbfc6b8f50d56a41d61976439,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,273,342,0.4456833340227604,0.5442134922271824,0.9999999999999999,1.1102230246251565e-16,0.5442134922271823,0.8765437588081344,0.004489255639538066,0.539724236587644,0.1341775217897022,0.3923319350576087,0.1341775217897022,0.098585140880534,0.5765212916990292,0.09858514088053401,0.05383059396202056,0.7869969877488386,0.05383059396202056
12,0.1,116,1.0,512,200,600,matched,ising-parity,30117,123,338,eab5dcbd573281cce525b147e39d593cb501cfacbfc6b8f50d56a41d61976439,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,273,342,0.37546737503726035,3.0607450495726205,0.49999997909114907,0.693147222377648,2.3675978271949725,0.4455880230575635,0.0012714361483568953,2.3663263910466155,0.061460188466878514,0.17970815341192548,0.09812242946526463,0.04905447661704685,0.2868682843102155,0.06781297029659777,0.029099692790587835,0.42543410512555313,0.03322170311127902
12,0.1,116,1.0,512,200,600,matched,ising-nll,30120,123,338,eab5dcbd573281cce525b147e39d593cb501cfacbfc6b8f50d56a41d61976439,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,273,342,0.29225795809179544,0.8717023563608575,0.5000016907110912,0.6931437991434798,0.17855855721737768,0.439029196031268,0.004078626763147058,0.1744799304542303,0.07639679506302426,0.2233824417047493,0.13229117772454138,0.06613870653396288,0.3867760616021221,0.1027242744073903,0.045937751261057175,0.671604550600251,0.05861600970907912
12,0.1,116,1.0,512,200,600,matched,transformer,35617,123,338,eab5dcbd573281cce525b147e39d593cb501cfacbfc6b8f50d56a41d61976439,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,273,342,8.23861804092303,1.5963976366674757,0.5534093085584688,0.5916573911013361,1.0047402455661396,0.40918659765694565,0.08891875532102747,0.9158214902451117,0.07233158484854317,0.21149586213024318,0.11530380933978422,0.06201657940588934,0.36267005500520083,0.0901829987793847,0.04242737015215951,0.6202831893590571,0.05234311679751887
12,0.1,116,1.0,512,200,600,matched,maxent,36117,123,338,eab5dcbd573281cce525b147e39d593cb501cfacbfc6b8f50d56a41d61976439,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,273,342,0.5693624160485342,1.5243033533933867,0.5044855130195145,0.6842161551220514,0.8400871982713354,0.3708372597954938,0.09268750956252633,0.7473996887088088,0.06308163382595164,0.18444922171330888,0.10111820718373712,0.05084035828552118,0.2973120367574338,0.07512514255602526,0.03362930650014428,0.49165652777988705,0.04412560248915483
