architecture,beta,conditional_kl,coverage_1000,key,kl,l2,lr,model,parameters,recovery_1000,region_mass_kl,sample_sha256,seconds,seed,sigma,steps,support_aware,support_kl,support_mass,unseen_mass,validation_nll,validation_sha256,within_region_kl
dense,0.9,0.40593706924357187,0.12417898948248202,ising-nll_dense_s1_lr0.005_t200_support,0.40593706924357165,0.0,0.005,ising-nll,78,0.42237751524653744,0.0017014891214076656,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0.10897570801898837,112,1.0,200,True,-2.2204460492503128e-16,1.0000000000000002,0.4978139113123726,6.043373026676122,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,0.40423558012216443
dense,0.9,0.3422580582151708,0.13573216489762188,ising-nll_dense_s1_lr0.005_t200_support,0.3422580582151709,0.0,0.005,ising-nll,78,0.44648738453165093,0.0020055013839867172,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,0.1219869579654187,113,1.0,200,True,1.1102230246251565e-16,0.9999999999999999,0.5255863005731072,5.94509962892628,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,0.34025255683118427
dense,0.9,0.35912190017243106,0.12735974134841718,ising-nll_dense_s1_lr0.005_t200_support,0.35912190017243106,0.0,0.005,ising-nll,78,0.4317279367742955,0.006827784379058753,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,0.12091958289965987,114,1.0,200,True,-0.0,1.0,0.5084418821477803,6.043753308949178,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,0.35229411579337244
dense,0.9,0.34759343011963906,0.1353692848218157,ising-nll_dense_s1_lr0.005_t200_support,0.34759343011963917,0.0,0.005,ising-nll,78,0.4527400830161061,0.0026979714215553813,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,0.11681437492370605,115,1.0,200,True,1.1102230246251565e-16,0.9999999999999999,0.5136481146073338,5.9147671723541295,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,0.3448954586980837
dense,0.9,0.4438529658128422,0.12397267637177842,ising-nll_dense_s1_lr0.005_t200_support,0.4438529658128422,0.0,0.005,ising-nll,78,0.4064677913828801,0.0025371314458875194,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0.1273840001085773,116,1.0,200,True,-0.0,1.0,0.4810898326629597,6.12219811396746,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,0.4413158343669546
dense,0.9,0.35068329136409504,0.1313503998222498,ising-nll_dense_s1_lr0.005_t200_support,0.35068329136409526,0.0,0.005,ising-nll,78,0.443751350750844,0.0036852613905139983,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,0.11607712507247925,117,1.0,200,True,2.2204460492503136e-16,0.9999999999999998,0.511406486375514,5.983673635064865,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,0.3469980299735813
dense,0.9,0.34984523145385016,0.13262076528433495,ising-nll_dense_s1_lr0.005_t200_support,0.34984523145385027,0.0,0.005,ising-nll,78,0.46209325883043534,0.006352422413442381,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,0.13141545897815377,118,1.0,200,True,1.1102230246251565e-16,0.9999999999999999,0.5024490926347592,6.063254025662063,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,0.3434928090404079
dense,0.9,0.39202530238984723,0.12589898114550394,ising-nll_dense_s1_lr0.005_t200_support,0.39202530238984734,0.0,0.005,ising-nll,78,0.42677620727289467,0.00024426381364217944,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,0.10602966591250151,119,1.0,200,True,1.1102230246251565e-16,0.9999999999999999,0.4747475578738115,6.001464515128843,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,0.3917810385762051
dense,0.9,0.30843826987073614,0.14211775936655252,ising-nll_dense_s1_lr0.005_t200_support,0.30843826987073614,0.0,0.005,ising-nll,78,0.48339373934201535,0.010746319038884886,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,0.12123720906674862,120,1.0,200,True,-0.0,1.0,0.5424098859330113,5.993304354904309,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,0.2976919508318513
dense,0.9,0.376603854378581,0.12031444630775219,ising-nll_dense_s1_lr0.005_t50_support,0.37660385437858124,0.0,0.005,ising-nll,78,0.41631296300260273,0.0411409233337508,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,0.028940542018972337,111,1.0,50,True,2.2204460492503136e-16,0.9999999999999998,0.5974457386196629,6.123593764153193,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,0.3354629310448305
