radius,objective,sigma,lr,beta,seed,key,parameters,status,error,kl,validation_nll,recovery_1000,coverage_1000,sample_sha256,validation_sha256,mask_sha256,initial_sha256,seconds,role
1,mse,0.75,0.02,0.9,300031,r1_mse_sigma0.75_lr0.02,12,ok,,0.8568143406643147,6.44887194761997,0.30523677264874544,0.09187626856727238,caddfcb37abf3009ea99deb5316e1db13d5b0c34c98f7fcd4ecbd61674891add,db3e5c14e5fd1b464928c9903eaa0097bdefea6f9ef8c18e0c4d0f68471578e7,c3046847d8bc7742510b0bf358fce5745710323a6fe906651129aca7f72f6409,bbe07914162052101801dbaaef2b8154cf2af4cba3b7d77946a7407dd0512eda,0.32893008401151747,r1_mse_matched
1,mse,0.75,0.02,0.9,300032,r1_mse_sigma0.75_lr0.02,12,ok,,0.8757209464759346,6.4199118415092675,0.3115581216966304,0.09471366899577563,0cafa4d93d49dd1f1f96e591aef2aa1a0071f194cff785af1ee2ce77d0de7756,04c9ef5c63f89d8d6e9b8a0abd0768718e42d5a04c327b4c018659155256db82,6f2ebb7c5cfeff6846119c395859d312cb6b2ad50693246b3060147336ae7d08,40ef7649fad2e4b22378ce6f2066751f3a0f60fcd37b188bb0170b266995c843,0.32363937504123896,r1_mse_matched
1,mse,0.75,0.02,0.9,300033,r1_mse_sigma0.75_lr0.02,12,ok,,0.7775985481167176,6.424683485352635,0.3394711224474478,0.1021808078566818,7856a8c79f49862d335530e7ecca990edcfcd44e2430b104e8e8b151686a6e47,57645ec48930a4c1e12aca637d5e92fbb621813907a9a2934b04b342047ed618,7456d7c43884711d6eccf0e05e59da6f8371ca0e030f84f114628e4fe919d2c4,318e7f8718ae365b74db2689e5c4ac1ecc667b6cbd0f120c6113d30c6c69452b,0.3084358749911189,r1_mse_matched
1,mse,0.75,0.02,0.9,300034,r1_mse_sigma0.75_lr0.02,12,ok,,0.7602575239910345,6.4325942118985795,0.3361155302136762,0.0974735037619661,265709a031a255d67a159004510d8ae9eb9d1243c985ab835f322589dfcaf0f1,413113ebf5837c734743bc6fac245c377f6d4d765fe16dadcebe845b6970ecc0,bce3c46901dd3e8426a82abca6109602b4daad21f874f2b38058682cf1d1b5ba,a2295a1b3444c59576c9adb37e8e4159cdf1d757e5ae7276750e4c92f35e9d63,0.2845267920056358,r1_mse_matched
1,mse,0.75,0.02,0.9,300035,r1_mse_sigma0.75_lr0.02,12,ok,,0.7046013765744609,6.264791554336626,0.3503185366971791,0.1040446053990622,a7c9f8da5f053c87a9def53188cd1c7b7f13817ab7c058c3a0e9a596c18599c1,11b8d6a0d4a74720af43b2d3caaba1e6a3f04e87c01ee83efe4d105817f577be,7d9647b95c8fc018b7ebaa5ac9c27598bd9b5e60ee2a0bfb31124673a835a2f5,662142cd660cb044e5e4a8122d728754495f7e08449a08ebe64f4161f69bc80f,0.29480795795097947,r1_mse_matched
1,mse,0.75,0.02,0.9,300036,r1_mse_sigma0.75_lr0.02,12,ok,,0.6994384498191049,6.382178245228149,0.35673758226310887,0.10488084918535401,22e590454277a117e664fa941ea99ad8f30ebedeb9c6b160f358ccfe31a4ec13,4a1b30cf27c2d621e06e2bfd1f031cfb01554bf0205e819cf31f51918f94ce7d,61af541aa5400aa6c4d7948c4d80c81580ca4eae7703e476f1729115e3dfb394,2fdafe84bc4c4c36caadf948bf4acbaa2d52bf28a1df857041f413ea857bfc43,0.29337037494406104,r1_mse_matched
1,mse,0.75,0.02,0.9,300037,r1_mse_sigma0.75_lr0.02,12,ok,,0.6772303123901198,6.4524890108726085,0.36303724537860627,0.10273954044214557,f0968699341ec1620fba5f45cc467b965fd0a832614c2f270113853125578534,ca4f3809d1420c32523738a8167122c75bc9dcffdd8c533cc422527ec8511726,29b762c8b132682407fe04c7954c8a9a433ffafd7f84875e64dda96ca2415048,d8d4fea8745ba253bd984ac70618af766115bef1bca2d43f26f8a2b9ea5385a6,0.27303533302620053,r1_mse_matched
1,mse,0.75,0.02,0.9,300038,r1_mse_sigma0.75_lr0.02,12,ok,,0.8261537959348164,6.435051135699882,0.33248874413512663,0.10007911198467312,aff3f60d957ad1bd6b8c2456f9ee3a6386b8d361ecaa85f54ae4f6bfbddbe902,0d3833058011035bd683ea656900b18bdfa928d26ea9f2045a93b3f0902d7d95,125e0755616315bca11f7a592ae753739d84e58ca4941612dd8a2dbeaa165e62,a41de37a256611cfedb0cbfd54b6c970e53d3e994f5d6345e0a9565dcab70bcc,0.27675787499174476,r1_mse_matched
1,mse,0.75,0.02,0.9,300039,r1_mse_sigma0.75_lr0.02,12,ok,,0.7668929102275169,6.284741629997129,0.3249603369297718,0.09228873568805518,4bf06104aa241b940a7daf009513d821bb13b8169b7d99bebfc074a6df500c2d,d8907a883af4e8a955b74b01aee12100811c29821c76d51119f417e1dd3d9766,6a1e0aa9851d87405257339d94e64cbd7b88e4df4ec58c6d1ccf8684bd833e68,0f1aa20b3c2319cc4ea0356d7c5bf1f7987842cea80594731374625cf4956ecf,0.2722739160526544,r1_mse_matched
1,mse,0.75,0.02,0.9,300040,r1_mse_sigma0.75_lr0.02,12,ok,,0.835091300706912,6.37550944755645,0.3192493552037179,0.09609405591631909,79798a2e527fb88ab17da97fc950bc934e74d76207867b2377edfac289c7ce06,6b14f0355647f998c5a55c0c33416830f720e50e7f81ac5277dd002a135a6761,597b61745af1b9056f785942c0600eedff5d5e281200530aab15bdf0feac09b6,3079a655216eef3ea753548cff437a011250aee0e3321539b4a4a1f06c64c0d5,0.28375120798591524,r1_mse_matched
